epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2272,0.75345,1.46737,0.6907,0.91438,0.62059,0.40364,0.38773,0.24435,0.63185,0.37905,0.37048,0.2163,0.90267,2.11935,1.09965,0.99632,0.000167565,0.000167565,0.000167565
81,2300.6,0.75365,1.46616,0.69032,0.91316,0.60962,0.38898,0.39019,0.24313,0.58824,0.37149,0.36642,0.21978,0.901,2.15197,1.13545,0.99922,0.000159952,0.000159952,0.000159952
82,2327.28,0.76092,1.48036,0.70399,0.91774,0.49279,0.42412,0.39129,0.245,0.4898,0.41349,0.3833,0.22195,0.88845,2.14189,1.11294,0.99656,0.000152339,0.000152339,0.000152339
83,2353.12,0.76175,1.47559,0.69875,0.91672,0.63926,0.38599,0.3886,0.24032,0.58991,0.39743,0.37352,0.21676,0.90161,2.16085,1.10043,0.99823,0.000144726,0.000144726,0.000144726
84,2378.13,0.7564,1.47173,0.68724,0.91254,0.61104,0.41299,0.39615,0.24784,0.62882,0.38535,0.38179,0.22063,0.9006,2.14102,1.10183,1.00245,0.000137113,0.000137113,0.000137113
85,2403.17,0.75738,1.47584,0.69053,0.91731,0.49792,0.4097,0.39049,0.24647,0.4757,0.39822,0.37301,0.21756,0.90442,2.1686,1.12956,1.00213,0.0001295,0.0001295,0.0001295
86,2428.44,0.75682,1.46195,0.6926,0.91402,0.59207,0.40909,0.39376,0.24686,0.57224,0.40595,0.37797,0.21982,0.89236,2.14732,1.11023,0.99873,0.000121887,0.000121887,0.000121887
87,2453.67,0.75135,1.45741,0.67431,0.91111,0.59681,0.42198,0.39986,0.25079,0.35325,0.42101,0.38058,0.22247,0.90459,2.139,1.10699,1.00314,0.000114273,0.000114273,0.000114273
88,2479.08,0.75159,1.45651,0.67524,0.91346,0.59782,0.42538,0.39655,0.2477,0.58387,0.41167,0.37804,0.22144,0.88947,2.17268,1.1166,0.99758,0.00010666,0.00010666,0.00010666
89,2504.47,0.74637,1.44173,0.67341,0.9117,0.59035,0.42364,0.39707,0.24723,0.58273,0.39241,0.37541,0.22149,0.89714,2.14145,1.13625,1.00051,9.90472e-05,9.90472e-05,9.90472e-05
90,2529.86,0.74759,1.45528,0.67163,0.90657,0.6169,0.39274,0.39261,0.24852,0.60102,0.37611,0.376,0.22143,0.89331,2.17973,1.14624,1.00013,9.14341e-05,9.14341e-05,9.14341e-05
91,2594.22,0.73817,1.47247,0.67149,0.9209,0.5527,0.43198,0.38425,0.2422,0.54086,0.4277,0.36878,0.21779,0.89457,2.15399,1.10093,1.00049,8.3821e-05,8.3821e-05,8.3821e-05
92,2617.35,0.72725,1.44697,0.63192,0.91504,0.59788,0.39898,0.388,0.24494,0.57876,0.38988,0.36622,0.21494,0.90328,2.17401,1.10495,1.00165,7.62079e-05,7.62079e-05,7.62079e-05
93,2640.5,0.71996,1.4102,0.62435,0.90954,0.59713,0.40464,0.38977,0.24625,0.57903,0.38755,0.36795,0.21816,0.90071,2.17786,1.11161,1.00022,6.85948e-05,6.85948e-05,6.85948e-05
94,2663.73,0.71775,1.40698,0.62273,0.91837,0.46331,0.42314,0.38848,0.24893,0.44518,0.40615,0.37019,0.21996,0.90092,2.17904,1.10671,1.00286,6.09817e-05,6.09817e-05,6.09817e-05
95,2687.04,0.71669,1.39412,0.60576,0.91465,0.46728,0.4262,0.39883,0.24952,0.45654,0.40941,0.37561,0.22228,0.90329,2.19785,1.10653,1.00363,5.33686e-05,5.33686e-05,5.33686e-05
96,2710.16,0.71278,1.38916,0.60267,0.91173,0.60159,0.40548,0.39191,0.25058,0.59005,0.39243,0.37755,0.22053,0.90532,2.18354,1.1183,1.00301,4.57555e-05,4.57555e-05,4.57555e-05
97,2733.22,0.71159,1.39998,0.59976,0.90995,0.61463,0.38227,0.39688,0.25046,0.59838,0.36827,0.37773,0.22044,0.90542,2.18111,1.12207,1.0031,3.81424e-05,3.81424e-05,3.81424e-05
98,2756.56,0.71255,1.37741,0.59721,0.9129,0.63008,0.3768,0.39865,0.25013,0.33386,0.41953,0.37731,0.2191,0.90245,2.18398,1.11465,1.00189,3.05293e-05,3.05293e-05,3.05293e-05
99,2779.75,0.69852,1.39152,0.5942,0.90717,0.61381,0.41943,0.40189,0.25082,0.59902,0.40391,0.38219,0.22168,0.90184,2.17337,1.11355,1.00129,2.29162e-05,2.29162e-05,2.29162e-05
100,2803.14,0.71384,1.39737,0.59754,0.91488,0.60255,0.40553,0.39877,0.25051,0.58894,0.38962,0.38184,0.21967,0.9014,2.18203,1.12339,1.00133,1.53031e-05,1.53031e-05,1.53031e-05
